bets,wins,win_rate,staked,profit,roi,friction_adjusted_profit,friction_adjusted_roi,max_drawdown,average_odds,average_model_probability,average_edge,average_clv,clv_positive_rate,average_fractional_kelly,rule,rule_size
47,14,0.2978723404255319,47.0,11.89,0.2529787234042553,10.992200000000002,0.2338765957446809,-9.0,5.983191489361702,0.21893604559336965,0.02228490780585511,0.09981392812769022,1.0,0.003950579585971383,tournament_importance=3 & edge_bucket=<=3% & clv_bucket=5%+,3
43,25,0.5813953488372093,43.0,10.51,0.24441860465116277,9.9398,0.23115813953488373,-7.1,2.733255813953488,0.5315245478164433,0.08877622557067498,-0.016944371576084374,0.0,0.03922738326057504,surface=Grass & tournament_importance=3 & clv_bucket=-5-0%,3
62,42,0.6774193548387096,62.0,14.989999999999998,0.24177419354838708,14.2902,0.23048709677419355,-7.000000000000002,2.140645161290323,0.7041239602948249,0.08668737936784755,0.002830727083518396,0.5,0.057775907227055875,round=QF & edge_bucket=7.5-10%,2
59,29,0.4915254237288136,59.0,14.46,0.2450847457627119,13.570799999999998,0.23001355932203388,-5.0,2.5808474576271183,0.45697133797506867,0.0856824130281887,0.0008427856725947812,0.4915254237288136,0.02676610127344243,model_type=top_10 & round=R16 & odds_bucket=2-3,3
37,24,0.6486486486486487,37.0,8.940000000000001,0.24162162162162165,8.501199999999999,0.22976216216216214,-4.34,1.9102702702702696,0.5616157774921368,0.0634937456940624,0.0013700823673312163,0.5405405405405406,0.019210555561935086,model_type=top_10 & odds_bucket=1.5-2 & probability_bucket=50-60%,3
49,10,0.20408163265306123,49.0,12.209999999999997,0.2491836734693877,11.1858,0.22828163265306123,-12.0,9.357551020408163,0.198622874258254,0.049894750682247024,0.12395497344554779,1.0,0.013232125293693036,model_type=top_10 & round=R32 & clv_bucket=5%+,3
48,13,0.2708333333333333,48.0,11.88,0.24750000000000003,10.942400000000001,0.22796666666666668,-8.1,4.78,0.3466852541170507,0.13607184953459603,-0.0011056269376705137,0.5208333333333334,0.03964554351478323,surface=Hard & probability_bucket=25-40% & edge_bucket=10%+,3
31,20,0.6451612903225806,31.0,7.41,0.23903225806451614,7.0418,0.22715483870967743,-3.0,1.9058064516129027,0.5622225157672368,0.06299466947266798,0.000995607084262955,0.4838709677419355,0.018722425341867983,surface=Hard & odds_bucket=1.5-2 & probability_bucket=50-60%,3
32,20,0.625,32.0,7.64,0.23875,7.247199999999999,0.22647499999999998,-6.07,2.228125,0.6817232816963563,0.1413602935951101,0.001740672477018623,0.40625,0.08635100125593365,surface=Hard & round=SF & edge_bucket=10%+,3
58,13,0.22413793103448276,58.0,14.280000000000001,0.24620689655172415,13.0944,0.2257655172413793,-12.0,6.476034482758621,0.2528844757795139,0.05830404629598626,0.0831363504811789,1.0,0.015815905579766965,model_type=top_10 & tournament_importance=4 & clv_bucket=5%+,3
