tourney_date,match_date,tourney_name,round,surface,tournament_importance,player,opponent,side,model_type,model_probability,odds,closing_odds,execution_odds_source,closing_odds_source,friction_bps,friction_adjusted_odds,clv,market_probability,market_overround,edge,ev,friction_adjusted_ev,fractional_kelly_25,edge_trust_probability,accepted_by_strategy,won,stake,profit,friction_adjusted_profit,profit_metric,odds_bucket,probability_bucket,edge_bucket,clv_bucket,cluster
2022-08-08,2022-08-11,Canada Masters,R32,Hard,4,Andrey Rublev,Daniel Evans,player2,top_10,0.8249502947350075,1.33,1.35,B365W/B365L,AvgW/AvgL,200.0,1.3234,-0.0148148148148148,0.7188160676532769,1.045997346306944,0.1061342270817305,0.09718389199756,0.091739220052309,0.0736241606042121,,True,False,1.0,-1.0,-1.0,-1.0,1-1.5,75-100%,10%+,-5-0%,3
2022-08-08,2022-08-11,Canada Masters,R32,Hard,4,Felix Auger Aliassime,Yoshihito Nishioka,player1,top_10,0.8093785491068292,1.33,1.33,B365W/B365L,AvgW/AvgL,200.0,1.3234,0.0,0.7188160676532769,1.045997346306944,0.0905624814535522,0.0764734703120828,0.0711315718879778,0.0579344472061233,,True,True,1.0,0.33,0.3234000000000001,0.3234000000000001,1-1.5,75-100%,7.5-10%,-5-0%,3
2022-08-08,2022-08-11,Canada Masters,R16,Hard,4,Felix Auger Aliassime,Cameron Norrie,player1,top_10,0.6061648144159804,1.72,1.78,B365W/B365L,AvgW/AvgL,200.0,1.7056,-0.0337078651685394,0.549738219895288,1.0575858250276855,0.0564265945206923,0.0426034807954862,0.0338747074678961,0.0147928752762104,,True,True,1.0,0.72,0.7056,0.7056,1.5-2,60-75%,5-7.5%,-5-0%,3
2022-08-08,2022-08-11,Canada Masters,R16,Hard,4,Alex De Minaur,Nick Kyrgios,player1,other,0.3594767069617516,3.0,2.93,B365W/B365L,AvgW/AvgL,200.0,2.96,0.023890784982935,0.3181818181818181,1.0476190476190477,0.0412948887799335,0.078430120885255,0.0640510526067849,0.0098037651106568,,True,False,1.0,-1.0,-1.0,-1.0,2-3,25-40%,3-5%,0-2.5%,0
2022-08-08,2022-08-12,Canada Masters,QF,Hard,4,Hubert Hurkacz,Nick Kyrgios,player2,top_10,0.35891957876689,3.5,3.27,B365W/B365L,AvgW/AvgL,200.0,3.45,0.0703363914373089,0.2708333333333333,1.0549450549450547,0.0880862454335567,0.2562185256841153,0.2382725467457708,0.0256218525684115,,True,True,1.0,2.5,2.45,2.45,3-5,25-40%,7.5-10%,5%+,0
2022-08-08,2022-08-14,Canada Masters,F,Hard,4,Pablo Carreno Busta,Hubert Hurkacz,player2,top_10,0.4641867216000939,2.37,2.3,B365W/B365L,AvgW/AvgL,200.0,2.3426,0.0304347826086957,0.398477157360406,1.058883603429278,0.0657095642396878,0.1001225301922226,0.08740381402038,0.0182705347066099,,True,True,1.0,1.37,1.3426,1.3426,2-3,40-50%,5-7.5%,2.5-5%,0
2022-08-15,2022-08-15,Cincinnati Masters,R64,Hard,4,Holger Rune,Cameron Norrie,player1,other,0.2790532411800285,4.0,3.94,B365W/B365L,AvgW/AvgL,200.0,3.94,0.015228426395939,0.238095238095238,1.05,0.0409580030847904,0.1162129647201142,0.0994697702493125,0.0096844137266761,,True,False,1.0,-1.0,-1.0,-1.0,3-5,25-40%,3-5%,0-2.5%,0
2022-08-15,2022-08-17,Cincinnati Masters,R32,Hard,4,Felix Auger Aliassime,Alex De Minaur,player1,top_10,0.5995277618832519,1.72,1.71,B365W/B365L,AvgW/AvgL,200.0,1.7056,0.0058479532163742,0.549738219895288,1.0575858250276855,0.0497895419879638,0.0311877504391931,0.0225545506680743,0.0108290800136087,,True,True,1.0,0.72,0.7056,0.7056,1.5-2,50-60%,3-5%,0-2.5%,3
2022-08-15,2022-08-17,Cincinnati Masters,R32,Hard,4,Mackenzie Mcdonald,Carlos Alcaraz,player1,top_10,0.1863078013359691,6.0,6.28,B365W/B365L,AvgW/AvgL,200.0,5.9,-0.0445859872611464,0.1573033707865168,1.0595238095238095,0.0290044305494522,0.1178468080158148,0.0992160278822179,0.0058923404007907,,True,False,1.0,-1.0,-1.0,-1.0,5-10,0-25%,<=3%,-5-0%,0
2022-08-15,2022-08-17,Cincinnati Masters,R32,Hard,4,Hubert Hurkacz,John Isner,player2,top_10,0.8218677597784678,1.5,1.45,B365W/B365L,AvgW/AvgL,200.0,1.49,0.0344827586206897,0.6359223300970874,1.0483460559796436,0.1859454296813804,0.2328016396677017,0.224582962069917,0.1164008198338508,,True,False,1.0,-1.0,-1.0,-1.0,1-1.5,75-100%,10%+,2.5-5%,4
