bets,wins,win_rate,staked,profit,roi,friction_adjusted_profit,friction_adjusted_roi,max_drawdown,average_odds,average_model_probability,average_edge,average_clv,clv_positive_rate,average_fractional_kelly,edge_threshold,model_type,max_odds,exclude_slams,surface,min_edge_trust
1067,400,0.37488284910965325,1067.0,120.53000000000002,0.11296157450796628,104.77939999999998,0.09819999999999998,-63.989999999999824,3.6475820056232426,0.4106369266212306,0.04609769887975842,0.0,0.0,0.01319309502002305,0.02,,,True,,
47,18,0.3829787234042553,47.0,5.0699999999999985,0.10787234042553188,4.388600000000001,0.09337446808510641,-7.51,3.2368085106382978,0.38397428151378404,0.05514371631359104,0.0,0.0,0.014797101473685657,0.02,top_10,5.0,True,Grass,
56,20,0.35714285714285715,56.0,6.020000000000002,0.10750000000000004,5.179600000000001,0.09249285714285715,-8.0,3.302142857142857,0.3835926546368523,0.066268625139882,0.0,0.0,0.019825612745026804,0.05,top_10,5.0,False,Grass,
1332,527,0.39564564564564564,1332.0,139.77999999999997,0.10493993993993991,120.88440000000001,0.09075405405405407,-77.00999999999976,3.475953453453453,0.4203570222709298,0.04288600081874975,0.0,0.0,0.011485971627120195,0.01,,,True,,
21,10,0.47619047619047616,21.0,2.149999999999999,0.10238095238095234,1.8869999999999987,0.08985714285714279,-3.0,2.266190476190476,0.5068456346339354,0.07260351193417386,0.0,0.0,0.025195087054627675,0.05,top_10,3.0,False,Grass,
102,51,0.5,102.0,10.370000000000003,0.1016666666666667,9.142599999999998,0.08963333333333331,-6.85,2.2454901960784315,0.4896206912532138,0.045684809013877156,0.0,0.0,0.01306546541559266,0.02,other,3.0,True,Clay,
151,75,0.4966887417218543,151.0,15.280000000000003,0.10119205298013247,13.454399999999996,0.08910198675496686,-8.85,2.259072847682119,0.47991021566716074,0.04085103662533662,0.0,0.0,0.010016410880728735,0.01,other,3.0,True,Clay,
186,86,0.46236559139784944,186.0,18.32,0.09849462365591398,15.953599999999998,0.08577204301075268,-11.849999999999998,2.5346236559139785,0.44351188030773775,0.03828486625240129,0.0,0.0,0.008946729759287841,0.01,other,5.0,True,Clay,
176,88,0.5,176.0,16.8,0.09545454545454546,14.704,0.08354545454545455,-13.420000000000002,2.6272159090909093,0.5085948904370724,0.06993143405809202,0.0,0.0,0.02761421656689721,0.05,top_10,5.0,False,Hard,
26,9,0.34615384615384615,26.0,2.4900000000000007,0.0957692307692308,2.100200000000001,0.08077692307692311,-5.0,3.602307692307692,0.34464653542760815,0.06600745339593289,0.0,0.0,0.018426935541997935,0.075,top_10,5.0,True,Grass,
