tourney_date,match_date,tourney_name,round,surface,tournament_importance,player,opponent,side,model_type,model_probability,odds,closing_odds,execution_odds_source,closing_odds_source,friction_bps,friction_adjusted_odds,clv,market_probability,market_overround,edge,ev,friction_adjusted_ev,fractional_kelly_25,edge_trust_probability,accepted_by_strategy,won,stake,profit,friction_adjusted_profit
2019-05-13,2019-05-19,Rome Masters,F,Clay,4,Novak Djokovic,Rafael Nadal,player1,top_10,0.3966831947935722,2.63,2.63,AvgW/AvgL,selected,200,2.5974,0.0,0.36319612590799033,1.046894803548796,0.033487068885581894,0.043276802307094964,0.03034493015682449,0.00663754636611886,,True,False,1.0,-1.0,-1.0
2019-05-20,2019-05-21,Geneva,R16,Clay,3,Ernests Gulbis,Alexander Zverev,player2,top_10,0.22873334793097067,4.83,4.83,AvgW/AvgL,selected,200,4.7534,0.0,0.1963394342762063,1.0544969645927642,0.03239391365476438,0.10478207050658828,0.08726109605507593,0.006839560738027955,,True,False,1.0,-1.0,-1.0
2019-05-20,2019-05-23,Geneva,QF,Clay,3,Hugo Dellien,Alexander Zverev,player1,top_10,0.22749529185909845,5.07,5.07,AvgW/AvgL,selected,200,4.9886,0.0,0.1875,1.051939513477975,0.03999529185909845,0.15340112972562925,0.13488301296829852,0.009422673816070593,,True,False,1.0,-1.0,-1.0
2019-05-20,2019-05-25,Geneva,F,Clay,3,Nicolas Jarry,Alexander Zverev,player2,top_10,0.38314200370636275,2.76,2.76,AvgW/AvgL,selected,200,2.7247999999999997,0.0,0.3444180522565321,1.0519740129935033,0.03872395144983065,0.0574719302295611,0.04398533169909713,0.008163626453062657,,True,False,1.0,-1.0,-1.0
2019-05-27,2019-05-27,Roland Garros,R128,Clay,5,Hubert Hurkacz,Novak Djokovic,player2,top_10,0.08926480007183946,13.12,13.12,AvgW/AvgL,selected,200,12.8776,0.0,0.07279151943462897,1.047093298602889,0.016473280637210486,0.17115417694253354,0.1495163894051197,0.0035304079402337777,,True,False,1.0,-1.0,-1.0
2019-05-27,2019-05-27,Roland Garros,R128,Clay,5,Tommy Paul,Dominic Thiem,player2,top_10,0.07128247742845906,16.85,16.85,AvgW/AvgL,selected,200,16.533,0.0,0.05707890318970341,1.039739337871647,0.014203574238755644,0.20110974466953513,0.17851319932471377,0.003172077991633046,,True,False,1.0,-1.0,-1.0
2019-05-27,2019-05-27,Roland Garros,R128,Clay,5,Jozef Kovalik,Stan Wawrinka,player1,other,0.1466289686799601,7.14,7.14,AvgW/AvgL,selected,200,7.0172,0.0,0.13349514563106796,1.0491469314998727,0.01313382304889213,0.04693083637491502,0.028924799021015968,0.0019108646732457256,,True,False,1.0,-1.0,-1.0
2019-05-27,2019-05-27,Roland Garros,R128,Clay,5,Yannick Hanfmann,Rafael Nadal,player2,top_10,0.059001166968146945,24.63,24.63,AvgW/AvgL,selected,200,24.1574,0.0,0.03939157566302652,1.030699903120641,0.019609591305120425,0.4531987424254591,0.42531479091631286,0.004794739128496182,,True,False,1.0,-1.0,-1.0
2019-05-27,2019-05-28,Roland Garros,R128,Clay,5,Bernard Tomic,Taylor Fritz,player1,other,0.1803657763119728,5.95,5.95,AvgW/AvgL,selected,200,5.851,0.0,0.16078984485190406,1.0452602093468968,0.019575931460068724,0.07317636905623814,0.05532015720135275,0.003695776214961522,,True,False,1.0,-1.0,-1.0
2019-05-27,2019-05-28,Roland Garros,R128,Clay,5,Cedrik Marcel Stebe,Karen Khachanov,player2,other,0.0954399868381085,12.38,12.38,AvgW/AvgL,selected,200,12.1524,0.0,0.07749627421758569,1.042313905803405,0.017943712620522814,0.18154703705578334,0.1598248960514298,0.003988291675214924,,True,False,1.0,-1.0,-1.0
