snapshot_time,match_date,tourney_name,round,surface,player,opponent,side,model_probability,market_probability,odds,closing_odds,clv,stake,won,profit,friction_adjusted_profit,execution_odds_source,closing_odds_source
,2019-07-05,Wimbledon,R32,Grass,Kevin Anderson,Guido Pella,player2,0.9294198363041668,0.8426966292134831,1.12,1.13,-0.008849557522123686,1.0,False,-1.0,-1.0,selected,average_proxy
,2019-07-06,Wimbledon,R32,Grass,Tennys Sandgren,Fabio Fognini,player1,0.4142944832841684,0.2708333333333333,3.5,3.51,-0.002849002849002802,1.0,True,2.5,2.45,selected,average_proxy
,2019-07-06,Wimbledon,R32,Grass,Jo-Wilfried Tsonga,Rafael Nadal,player2,0.2502227743616323,0.1883116883116883,5.0,5.12,-0.0234375,1.0,False,-1.0,-1.0,selected,average_proxy
,2019-07-06,Wimbledon,R32,Grass,Steve Johnson,Kei Nishikori,player1,0.3116698457434841,0.2105263157894736,4.5,4.41,0.020408163265306145,1.0,False,-1.0,-1.0,selected,average_proxy
,2019-07-08,Wimbledon,R16,Grass,Mikhail Kukushkin,Kei Nishikori,player1,0.2189135994528471,0.1573033707865168,6.0,6.91,-0.13169319826338644,1.0,False,-1.0,-1.0,selected,average_proxy
,2019-07-14,Wimbledon,F,Grass,Novak Djokovic,Roger Federer,player2,0.6648962260715029,0.6265060240963857,1.55,1.54,0.006493506493506551,1.0,True,0.55,0.5390000000000001,selected,average_proxy
,2019-07-17,Umag,R16,Clay,Paolo Lorenzi,Laslo Djere,player1,0.3237247552661222,0.25,3.75,4.07,-0.07862407862407872,1.0,False,-1.0,-1.0,selected,average_proxy
,2019-07-24,Hamburg,R16,Clay,Marton Fucsovics,Dominic Thiem,player2,0.2546236662779172,0.1883116883116883,5.0,5.16,-0.03100775193798455,1.0,False,-1.0,-1.0,selected,average_proxy
,2019-07-25,Hamburg,R16,Clay,Alexander Zverev,Federico Delbonis,player1,0.8135030060199194,0.7322175732217574,1.28,1.3,-0.015384615384615441,1.0,True,0.28,0.2744,selected,average_proxy
,2019-07-26,Gstaad,QF,Clay,Joao Sousa,Roberto Bautista Agut,player1,0.2782598792344576,0.2544731610337972,3.75,3.83,-0.02088772845953002,1.0,True,2.75,2.695,selected,average_proxy
,2019-07-26,Hamburg,QF,Clay,Alexander Zverev,Filip Krajinovic,player1,0.8475915962285117,0.7017543859649122,1.36,1.38,-0.014492753623188248,1.0,True,0.3600000000000001,0.3528000000000002,selected,average_proxy
,2019-07-26,Hamburg,QF,Clay,Andrey Rublev,Dominic Thiem,player2,0.1826835745975614,0.1573033707865168,6.0,6.29,-0.04610492845786962,1.0,True,5.0,4.9,selected,average_proxy
,2019-07-26,Atlanta,QF,Hard,Bernard Tomic,Alex De Minaur,player1,0.3243411407285286,0.2982456140350877,3.2,3.14,0.019108280254777066,1.0,False,-1.0,-1.0,selected,average_proxy
,2019-07-27,Hamburg,SF,Clay,Alexander Zverev,Nikoloz Basilashvili,player1,0.7779972259647491,0.6563245823389022,1.44,1.41,0.02127659574468077,1.0,False,-1.0,-1.0,selected,average_proxy
,2019-07-31,Kitzbuhel,R16,Clay,Dominic Thiem,Sebastian Ofner,player2,0.98,0.893743793445879,1.07,1.06,0.009433962264151052,1.0,True,0.07000000000000006,0.0686,selected,average_proxy
,2019-08-01,Los Cabos,R16,Hard,Marcel Granollers,Fabio Fognini,player1,0.5216134173178166,0.4623655913978494,2.0,1.98,0.010101010101010166,1.0,False,-1.0,-1.0,selected,average_proxy
,2019-08-02,Los Cabos,QF,Hard,Taylor Fritz,Fabio Fognini,player1,0.6556023494329484,0.5699481865284974,1.66,1.62,0.024691358024691246,1.0,True,0.6599999999999999,0.6467999999999998,selected,average_proxy
,2019-08-02,Washington,R16,Hard,Stefanos Tsitsipas,Jordan Thompson,player1,0.7948675115448177,0.7188160676532769,1.33,1.31,0.01526717557251911,1.0,True,0.33000000000000007,0.32340000000000013,selected,average_proxy
,2019-08-02,Washington,QF,Hard,Daniil Medvedev,Marin Cilic,player1,0.6968784513626443,0.588235294117647,1.61,1.57,0.02547770700636942,1.0,True,0.6100000000000001,0.5978000000000001,selected,average_proxy
,2019-08-03,Washington,QF,Hard,Benoit Paire,Stefanos Tsitsipas,player1,0.3480296133347563,0.2708333333333333,3.5,3.49,0.002865329512893977,1.0,False,-1.0,-1.0,selected,average_proxy
,2019-08-04,Washington,SF,Hard,Daniil Medvedev,Peter Gojowczyk,player1,0.9698990730990662,0.8116883116883117,1.16,1.16,0.0,1.0,True,0.15999999999999992,0.15679999999999983,selected,average_proxy
,2019-08-04,Washington,F,Hard,Nick Kyrgios,Daniil Medvedev,player1,0.5281915228046143,0.450261780104712,2.1,2.13,-0.014084507042253391,1.0,True,1.1,1.0780000000000003,selected,average_proxy
