bets,wins,win_rate,staked,profit,roi,friction_adjusted_profit,friction_adjusted_roi,max_drawdown,average_odds,average_model_probability,average_edge,average_clv,clv_positive_rate,average_fractional_kelly,edge_threshold,model_type,max_odds,exclude_slams,surface,min_edge_trust
87,44,0.5057471264367817,87.0,12.96,0.14896551724137932,11.840799999999998,0.13610114942528734,-8.36,2.806781609195402,0.5121991350279607,0.08505357709379031,0.012608151175269615,0.5517241379310345,0.03668514233768972,0.02,top_10,5.0,True,Grass,
27,12,0.4444444444444444,27.0,4.04,0.14962962962962964,3.6591999999999993,0.1355259259259259,-3.0,2.9062962962962957,0.4451735246446681,0.07493979393592187,0.008701878974903685,0.5925925925925926,0.027352697128995834,0.075,other,5.0,False,Clay,
27,12,0.4444444444444444,27.0,4.04,0.14962962962962964,3.6591999999999993,0.1355259259259259,-3.0,2.9062962962962957,0.4451735246446681,0.07493979393592187,0.008701878974903685,0.5925925925925926,0.027352697128995834,0.075,other,5.0,True,Clay,
12,6,0.5,12.0,1.7600000000000005,0.1466666666666667,1.6048000000000004,0.13373333333333337,-4.46,2.555,0.45589314525355445,0.04290662897401324,0.0051081028008032785,0.5,0.010495024877453948,0.03,other,5.0,True,Grass,
18,10,0.5555555555555556,18.0,2.4699999999999998,0.13722222222222222,2.2605999999999997,0.12558888888888886,-2.77,2.223888888888889,0.5433938730879573,0.10539820457339763,0.004119787219894946,0.4444444444444444,0.04106462355585373,0.1,other,3.0,True,,
90,46,0.5111111111111111,90.0,12.37,0.13744444444444442,11.242599999999998,0.12491777777777775,-8.36,2.7733333333333334,0.5177379424639276,0.08379422255626844,0.012067891645254632,0.5444444444444444,0.03605645308569462,0.01,top_10,5.0,True,Grass,
54,25,0.46296296296296297,54.0,7.29,0.135,6.564199999999999,0.12155925925925924,-7.98,3.1159259259259255,0.46829648989463174,0.10404189579594803,0.01621952569628282,0.5925925925925926,0.04270482934016265,0.075,top_10,5.0,True,Grass,
63,40,0.6349206349206349,63.0,8.22,0.1304761904761905,7.595600000000001,0.12056507936507938,-8.06,1.9201587301587302,0.6297233035937669,0.07745190989105523,0.00310533215907193,0.42857142857142855,0.03878945534073032,0.02,,3.0,True,Grass,
199,100,0.5025125628140703,199.0,25.94,0.13035175879396985,23.4412,0.11779497487437185,-11.700000000000003,3.1370854271356783,0.5218868162230607,0.08481966618574008,0.0010133213394332627,0.4221105527638191,0.040977060058583176,0.01,top_10,10.0,False,Grass,
147,77,0.5238095238095238,147.0,18.660000000000007,0.12693877551020413,16.8868,0.11487619047619048,-9.559999999999999,2.7531292517006802,0.5448810279728468,0.0956194721231954,0.0011104271706245904,0.4557823129251701,0.0480849027365384,0.03,top_10,5.0,False,Grass,
45,24,0.5333333333333333,45.0,5.6499999999999995,0.12555555555555553,5.116999999999999,0.1137111111111111,-4.75,2.3157777777777775,0.5107612677679414,0.081430138585203,0.010339639542095434,0.6222222222222222,0.03011481544831694,0.075,other,3.0,False,,
55,29,0.5272727272727272,55.0,6.879999999999999,0.12509090909090909,6.222399999999997,0.11313454545454539,-6.82,2.232181818181818,0.5054015486441769,0.05946652912764093,0.015749265687759573,0.6727272727272727,0.019002197296664032,0.03,other,3.0,True,Clay,
89,42,0.47191011235955055,89.0,11.12,0.12494382022471909,9.957599999999998,0.1118831460674157,-9.36,3.225056179775281,0.47547693421044956,0.0872191837296449,0.012929874932261965,0.550561797752809,0.0363830947055541,0.03,top_10,10.0,True,Grass,
74,33,0.44594594594594594,74.0,9.21,0.12445945945945946,8.205799999999998,0.11088918918918916,-9.8,3.02027027027027,0.46645998765766855,0.08933280496822789,0.013299412847808244,0.5675675675675675,0.03592369063495507,0.05,,5.0,True,Grass,
14,8,0.5714285714285714,14.0,1.6899999999999995,0.12071428571428568,1.5362,0.10972857142857143,-1.2000000000000002,2.051428571428571,0.585113965297375,0.10598662391399245,0.008118307615324363,0.5714285714285714,0.043956988077244255,0.075,other,3.0,False,Clay,
14,8,0.5714285714285714,14.0,1.6899999999999995,0.12071428571428568,1.5362,0.10972857142857143,-1.2000000000000002,2.051428571428571,0.585113965297375,0.10598662391399245,0.008118307615324363,0.5714285714285714,0.043956988077244255,0.075,other,3.0,True,Clay,
