tourney_date,match_date,tourney_name,round,surface,tournament_importance,player,opponent,side,model_type,model_probability,odds,closing_odds,clv,market_probability,edge,ev,won,stake,profit,friction_bps,friction_adjusted_odds,friction_adjusted_profit,friction_adjusted_ev
2019-10-28,2019-10-31,Paris Masters,R16,Hard,4,Alex De Minaur,Stefanos Tsitsipas,player1,top_10,0.487712360685144,2.37,2.34,0.0128205128205129,0.398477157360406,0.089235203324738,0.1558782948237913,False,1.0,-1.0,200.0,2.3426,-1.0,0.14251497614101838
2019-10-28,2019-10-31,Paris Masters,R16,Hard,4,Kyle Edmund,Novak Djokovic,player1,top_10,0.1774517606078101,7.0,8.23,-0.149453219927096,0.1358024691358024,0.0416492914720076,0.2421623242546706,False,1.0,-1.0,200.0,6.88,-1.0,0.22086811298173337
2019-10-28,2019-11-01,Paris Masters,QF,Hard,4,Jo-Wilfried Tsonga,Rafael Nadal,player2,top_10,0.2476818336157119,5.0,5.47,-0.0859232175502742,0.1883116883116883,0.0593701453040236,0.2384091680785597,False,1.0,-1.0,200.0,4.92,-1.0,0.2185946213893024
2019-10-28,2019-11-02,Paris Masters,SF,Hard,4,Denis Shapovalov,Rafael Nadal,player1,top_10,0.3305389438710883,5.0,4.94,0.0121457489878542,0.1883116883116883,0.1422272555594,0.6526947193554414,True,1.0,4.0,200.0,4.92,3.92,0.6262516038457543
2019-10-28,2019-11-02,Paris Masters,SF,Hard,4,Novak Djokovic,Grigor Dimitrov,player1,top_10,0.941713030905967,1.12,1.1,0.0181818181818183,0.8426966292134831,0.0990164016924839,0.0547185946146831,True,1.0,0.1200000000000001,200.0,1.1176000000000001,0.11760000000000015,0.0524584833405089
2019-10-28,2019-11-03,Paris Masters,F,Hard,4,Denis Shapovalov,Novak Djokovic,player2,top_10,0.1867669788924102,6.0,5.98,0.0033444816053511,0.1573033707865168,0.0294636081058933,0.1206018733544613,False,1.0,-1.0,200.0,5.9,-1.0,0.10192517546522029
2019-11-11,2019-11-11,Tour Finals,RR,Hard,1,Stefanos Tsitsipas,Daniil Medvedev,player1,top_10,0.3745824183174774,3.0,3.03,-0.0099009900990097,0.3181818181818181,0.0564006001356592,0.1237472549524322,True,1.0,2.0,200.0,2.96,1.96,0.10876395821973306
2019-11-11,2019-11-13,Tour Finals,RR,Hard,1,Stefanos Tsitsipas,Alexander Zverev,player1,top_10,0.5576151039636432,2.0,2.09,-0.0430622009569376,0.4736842105263157,0.0839308934373274,0.1152302079272864,True,1.0,1.0,200.0,1.98,0.98,0.10407790584801357
2019-11-11,2019-11-13,Tour Finals,RR,Hard,1,Daniil Medvedev,Rafael Nadal,player1,top_10,0.6301432169714838,1.72,1.71,0.0058479532163742,0.549738219895288,0.0804049970761957,0.083846333190952,False,1.0,-1.0,200.0,1.7056,-1.0,0.07477227086656274
2019-11-11,2019-11-14,Tour Finals,RR,Hard,1,Dominic Thiem,Matteo Berrettini,player1,top_10,0.8247935662680239,1.36,1.36,0.0,0.7017543859649122,0.1230391803031116,0.1217192501245126,False,1.0,-1.0,200.0,1.3528000000000002,-1.0,0.11578073644738296
2019-11-11,2019-11-14,Tour Finals,RR,Hard,1,Novak Djokovic,Roger Federer,player2,top_10,0.7966447935498379,1.36,1.37,-0.0072992700729926,0.7017543859649122,0.0948904075849256,0.0834369192277795,False,1.0,-1.0,200.0,1.3528000000000002,-1.0,0.07770107671422083
2019-11-11,2019-11-15,Tour Finals,RR,Hard,1,Alexander Zverev,Daniil Medvedev,player1,top_10,0.7262329437037782,1.9,1.92,-0.0104166666666666,0.5,0.2262329437037782,0.3798425930371786,True,1.0,0.8999999999999999,200.0,1.882,0.8819999999999999,0.36677040005051054
2019-11-11,2019-11-15,Tour Finals,RR,Hard,1,Stefanos Tsitsipas,Rafael Nadal,player1,top_10,0.4319282605203663,2.75,2.93,-0.0614334470989761,0.3436754176610979,0.0882528428592684,0.1878027164310073,False,1.0,-1.0,200.0,2.715,-1.0,0.17268522731279445
2019-11-11,2019-11-16,Tour Finals,SF,Hard,1,Alexander Zverev,Dominic Thiem,player1,top_10,0.6016492944709725,2.0,2.06,-0.0291262135922329,0.4736842105263157,0.1279650839446567,0.2032985889419449,False,1.0,-1.0,200.0,1.98,-1.0,0.1912656030525255
2019-11-11,2019-11-17,Tour Finals,F,Hard,1,Stefanos Tsitsipas,Dominic Thiem,player1,top_10,0.6043752803714844,2.0,1.96,0.0204081632653061,0.4736842105263157,0.1306910698451686,0.2087505607429687,True,1.0,1.0,200.0,1.98,0.98,0.19666305513553906
2020-01-20,2020-01-20,Australian Open,R128,Hard,5,Jan Lennard Struff,Novak Djokovic,player2,top_10,0.0839847471179221,23.0,20.0,0.1499999999999999,0.0420658059142024,0.0419189412037197,0.9316491837122092,False,1.0,-1.0,200.0,22.56,-1.0,0.8946958949803224
2020-01-20,2020-01-22,Australian Open,R64,Hard,5,Filip Krajinovic,Roger Federer,player2,top_10,0.1021482989323306,17.0,14.08,0.2073863636363635,0.0566037735849056,0.045544525347425,0.7365210818496216,False,1.0,-1.0,200.0,16.68,-1.0,0.7038336261912743
2020-01-20,2020-01-22,Australian Open,R64,Hard,5,Michael Mmoh,Roberto Bautista Agut,player2,top_10,0.1299033255442928,8.0,7.88,0.015228426395939,0.118942731277533,0.0109605942667597,0.0392266043543427,False,1.0,-1.0,200.0,7.859999999999999,-1.0,0.02104013877814126
2020-01-20,2020-01-23,Australian Open,R64,Hard,5,Alex Bolt,Dominic Thiem,player1,top_10,0.1467880276679681,9.0,8.43,0.0676156583629894,0.1062562065541211,0.0405318211138469,0.3210922490117133,False,1.0,-1.0,200.0,8.84,-1.0,0.297606164584838
2020-01-20,2020-01-23,Australian Open,R64,Hard,5,Egor Gerasimov,Alexander Zverev,player2,top_10,0.293060587261343,4.5,4.87,-0.0759753593429158,0.2105263157894736,0.0825342714718693,0.3187726426760433,False,1.0,-1.0,200.0,4.43,-1.0,0.2982584015677494
